CustomerID,Lookalikes
C0001,"[('C0164', 0.97), ('C0137', 0.96), ('C0069', 0.96)]"
C0002,"[('C0029', 1.0), ('C0031', 1.0), ('C0094', 0.99)]"
C0003,"[('C0176', 0.89), ('C0027', 0.86), ('C0010', 0.83)]"
C0004,"[('C0075', 1.0), ('C0175', 0.99), ('C0195', 0.99)]"
C0005,"[('C0058', 1.0), ('C0123', 1.0), ('C0015', 1.0)]"
C0006,"[('C0079', 1.0), ('C0196', 0.99), ('C0117', 0.99)]"
C0007,"[('C0140', 1.0), ('C0085', 1.0), ('C0125', 1.0)]"
C0008,"[('C0179', 1.0), ('C0081', 0.99), ('C0090', 0.99)]"
C0009,"[('C0192', 1.0), ('C0177', 1.0), ('C0083', 1.0)]"
C0010,"[('C0142', 0.96), ('C0027', 0.96), ('C0029', 0.96)]"
C0011,"[('C0023', 0.98), ('C0064', 0.98), ('C0100', 0.97)]"
C0012,"[('C0041', 1.0), ('C0045', 1.0), ('C0087', 0.99)]"
C0013,"[('C0059', 1.0), ('C0141', 1.0), ('C0105', 1.0)]"
C0014,"[('C0033', 1.0), ('C0095', 1.0), ('C0060', 1.0)]"
C0015,"[('C0131', 1.0), ('C0058', 1.0), ('C0005', 1.0)]"
C0016,"[('C0107', 0.96), ('C0152', 0.85), ('C0183', 0.83)]"
C0017,"[('C0162', 1.0), ('C0124', 1.0), ('C0084', 1.0)]"
C0018,"[('C0182', 0.98), ('C0165', 0.98), ('C0028', 0.98)]"
C0019,"[('C0172', 0.99), ('C0116', 0.96), ('C0056', 0.91)]"
C0020,"[('C0080', 1.0), ('C0167', 1.0), ('C0063', 1.0)]"
